Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Adaptive Human-Machine-Interface of Automation Systems","Technological Innovation for Collective Awareness Systems","","","","10.1007/978-3-642-54734-8_20","Farzan Yazdi MotlaghPeter Göhner","2014","http://link.springer.com/chapter/10.1007/978-3-642-54734-8_20","Chapter"
"Software Architectures Supporting Human-Computer Interaction Analysis: A Literature Review","Learning and Collaboration Technologies","","","","10.1007/978-3-319-39483-1_12","Juan Cruz-BenitoRoberto TherónFrancisco J. García-Peñalvo","2016","http://link.springer.com/chapter/10.1007/978-3-319-39483-1_12","Chapter"
"Design and Evaluation of a Personalized Cancer Treatment System Using Human-Computer Interaction Techniques","New Advances in Information Systems and Technologies","","","","10.1007/978-3-319-31232-3_67","Alexandra MartinezRodrigo MoraGustavo LópezConstantino BolañosDaniel AlvaradoAndrés SolanoMariana LópezSteve QuirósAndrés Báez","2016","http://link.springer.com/chapter/10.1007/978-3-319-31232-3_67","Chapter"
"A human–computer interaction approach for healthcare","Universal Access in the Information Society","","","","10.1007/s10209-016-0515-7","Pere PonsaDaniel Guasch","2016","http://link.springer.com/article/10.1007/s10209-016-0515-7","Article"
"Biologically Inspired Artificial Endocrine System for Human Computer Interaction","Human-Computer Interaction: Design and Evaluation","","","","10.1007/978-3-319-20901-2_7","Hooman SamaniElham SaadatianBrian Jalaeian","2015","http://link.springer.com/chapter/10.1007/978-3-319-20901-2_7","Chapter"
"Retrospective and Future Automotive Infotainment Systems—100 Years of User Interface Evolution","Automotive User Interfaces","","","","10.1007/978-3-319-49448-7_1","Gerrit MeixnerCarina HäckerBjörn DeckerSimon GerlachAnne HessKonstantin HollAlexander KlausDaniel LüddeckeDaniel MauserMarius OrfgenMark PoguntkeNadine WalterRan Zhang","2017","http://link.springer.com/chapter/10.1007/978-3-319-49448-7_1","Chapter"
"Multimodal Systems: An Excursus of the Main Research Questions","On the Move to Meaningful Internet Systems: OTM 2015 Workshops","","","","10.1007/978-3-319-26138-6_59","Maria Chiara CascheraArianna D’UliziaFernando FerriPatrizia Grifoni","2015","http://link.springer.com/chapter/10.1007/978-3-319-26138-6_59","Chapter"
"Cultural User Experience in the Car—Toward a Standardized Systematic Intercultural Agile Automotive UI/UX Design Process","Automotive User Interfaces","","","","10.1007/978-3-319-49448-7_6","Rüdiger HeimgärtnerAlkesh SolankiHelmut Windl","2017","http://link.springer.com/chapter/10.1007/978-3-319-49448-7_6","Chapter"
"A formal model for plastic human computer interfaces","Frontiers of Computer Science","","","","10.1007/s11704-016-5460-3","Abdelkrim ChebiebYamine Ait Ameur","2017","http://link.springer.com/article/10.1007/s11704-016-5460-3","Article"
"Design Adaptable and Adaptive User Interfaces: A Method to Manage the Information","Ambient Assisted Living","","","","10.1007/978-3-319-18374-9_5","Francesca GullàSilvia CeccacciMichele GermaniLorenzo Cavalieri","2015","http://link.springer.com/chapter/10.1007/978-3-319-18374-9_5","Chapter"
"Invited Paper: Multimodal Interface for an Intelligent Wheelchair","Informatics in Control, Automation and Robotics","","","","10.1007/978-3-319-10891-9_1","Luís Paulo ReisBrígida Mónica FariaSérgio VasconcelosNuno Lau","2015","http://link.springer.com/chapter/10.1007/978-3-319-10891-9_1","Chapter"
"Semantic Web Reloaded: An Update on the Progress of Semantic Web technologies","KI - Künstliche Intelligenz","","30","2","10.1007/s13218-016-0433-0","Ubbo Visser","2016","http://link.springer.com/article/10.1007/s13218-016-0433-0","Article"
"Dealing with Faults During Operations: Beyond Classical Use of Formal Methods","The Handbook of Formal Methods in Human-Computer Interaction","","","","10.1007/978-3-319-51838-1_20","Camille FayollasPhilippe PalanqueJean-Charles FabreCélia MartinieYannick Déléris","2017","http://link.springer.com/chapter/10.1007/978-3-319-51838-1_20","Chapter"
"Complex Systems","Metasynthetic Computing and Engineering of Complex Systems","","","","10.1007/978-1-4471-6551-4_1","Longbing Cao","2015","http://link.springer.com/chapter/10.1007/978-1-4471-6551-4_1","Chapter"
"Education and CHI","HCI and User-Experience Design","","","","10.1007/978-1-4471-6744-0_22","Aaron Marcus","2015","http://link.springer.com/chapter/10.1007/978-1-4471-6744-0_22","Chapter"
"Online Psychometric Design (OnPsyD) Tool","Design, User Experience, and Usability. Theories, Methods, and Tools for Designing the User Experience","","","","10.1007/978-3-319-07668-3_38","Shiny VerghesePaul van SchaikSteve Green","2014","http://link.springer.com/chapter/10.1007/978-3-319-07668-3_38","Chapter"
"How to Achieve Design for All:","Universal Access in Human-Computer Interaction. Interaction Techniques and Environments","","","","10.1007/978-3-319-40244-4_12","Denis ChêneÉric PetitSophie Zijp-Rouzier","2016","http://link.springer.com/chapter/10.1007/978-3-319-40244-4_12","Chapter"
"A systematic review on multi-device inclusive environments","Universal Access in the Information Society","","15","4","10.1007/s10209-015-0422-3","Ig Ibert BittencourtMaria Cecília BaranauskasRoberto PereiraDiego DermevalSeiji IsotaniPatrícia Jaques","2016","http://link.springer.com/article/10.1007/s10209-015-0422-3","Article"
"Personalization in the Digital Era","Human-Centred Web Adaptation and Personalization","","","","10.1007/978-3-319-28050-9_1","Panagiotis GermanakosMarios Belk","2016","http://link.springer.com/chapter/10.1007/978-3-319-28050-9_1","Chapter"
"Evaluation of Industrial Touch Interfaces Using a Modular Software Architecture","Human-Computer Interaction. Theories, Methods, and Tools","","","","10.1007/978-3-319-07233-3_54","Philipp TiefenbacherFabian BumbergerGerhard Rigoll","2014","http://link.springer.com/chapter/10.1007/978-3-319-07233-3_54","Chapter"
"SCADA Applications for Electric Power System","Reactive Power Control in AC Power Systems","","","","10.1007/978-3-319-51118-4_15","Florentina Magda EnescuNicu Bizon","2017","http://link.springer.com/chapter/10.1007/978-3-319-51118-4_15","Chapter"
"Evaluation Based Graphical Controls: A Contribution to Mobile User Interface Early Evaluation","Human-Computer Interaction. Applications and Services","","","","10.1007/978-3-319-07227-2_12","Selem CharfiHoucine EzzedineChristophe Kolski","2014","http://link.springer.com/chapter/10.1007/978-3-319-07227-2_12","Chapter"
"Evaluation of Model-Based User Interface Development Approaches","Human-Computer Interaction. Theories, Methods, and Tools","","","","10.1007/978-3-319-07233-3_28","Jürgen EngelChristian HerdinChristian Märtin","2014","http://link.springer.com/chapter/10.1007/978-3-319-07233-3_28","Chapter"
"The Goals Approach: Enterprise Model-Driven Agile Human-Centered Software Engineering","Human-Centered and Error-Resilient Systems Development","","","","10.1007/978-3-319-44902-9_17","Pedro ValenteThiago Rocha SilvaMarco WincklerNuno Jardim Nunes","2016","http://link.springer.com/chapter/10.1007/978-3-319-44902-9_17","Chapter"
"Supporting the Design of AAL through a SW Integration Framework: The D4All Project","Universal Access in Human-Computer Interaction. Design and Development Methods for Universal Access","","","","10.1007/978-3-319-07437-5_8","Marco SaccoEnrico G. CaldarolaGianfranco ModoniWalter Terkaj","2014","http://link.springer.com/chapter/10.1007/978-3-319-07437-5_8","Chapter"
"An Assessment Framework for Usable-Security Based on Decision Science","Human Aspects of Information Security, Privacy, and Trust","","","","10.1007/978-3-319-07620-1_4","Yasser M. HausawiWilliam H. Allen","2014","http://link.springer.com/chapter/10.1007/978-3-319-07620-1_4","Chapter"
"Extracting and analyzing time-series HCI data from screen-captured task videos","Empirical Software Engineering","","22","1","10.1007/s10664-015-9417-1","Lingfeng BaoJing LiZhenchang XingXinyu WangXin XiaBo Zhou","2017","http://link.springer.com/article/10.1007/s10664-015-9417-1","Article"
"Adding Usability Quality Attributes into Interactive Systems Architecture: A Pattern-Based Approach","Patterns of HCI Design and HCI Design of Patterns","","","","10.1007/978-3-319-15687-3_4","Ahmed Seffah","2015","http://link.springer.com/chapter/10.1007/978-3-319-15687-3_4","Chapter"
"Multimodal Serious Games Technologies for Cultural Heritage","Mixed Reality and Gamification for Cultural Heritage","","","","10.1007/978-3-319-49607-8_15","Fotis LiarokapisPanagiotis PetridisDaniel AndrewsSara de Freitas","2017","http://link.springer.com/chapter/10.1007/978-3-319-49607-8_15","Chapter"
"Designing Responsive Interactive Applications by Emotion-Tracking and Pattern-Based Dynamic User Interface Adaptation","Human-Computer Interaction. Novel User Experiences","","","","10.1007/978-3-319-39513-5_3","Christian MärtinSanim RashidChristian Herdin","2016","http://link.springer.com/chapter/10.1007/978-3-319-39513-5_3","Chapter"
"Requirements for the Successful Market Adoption of Adaptive User Interfaces for Accessibility","Universal Access in Human-Computer Interaction. Design for All and Accessibility Practice","","","","10.1007/978-3-319-07509-9_41","Matthias PeissnerAndreas SchullerDaniel ZieglerChristian KnechtGottfried Zimmermann","2014","http://link.springer.com/chapter/10.1007/978-3-319-07509-9_41","Chapter"
"HCI Requirements for Young Primary School CALL Learners","Learning and Collaboration Technologies. Technology-Rich Environments for Learning and Collaboration","","","","10.1007/978-3-319-07485-6_34","Monica Ward","2014","http://link.springer.com/chapter/10.1007/978-3-319-07485-6_34","Chapter"
