"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","844333","Rich  Ervin","","","","Chains of Commitment Software Architecture","1--12","","12","","10.1145/844331.844333","SIGecom Exch.","Winter, 2002","3","1","","December","2001","1551-9031","","","","","","ACM","New York, NY, USA"
"article","323686","Terrence  Fernando and Norman  Murray and Kevin  Tan and Prasad  Wimalaratne","","","","Software Architecture for a Constraint-based Virtual Environment","147--154","","8","component assembly, constraints, tasks, virtual environments","10.1145/323663.323686","","","","","","","1999","","Proceedings of the ACM Symposium on Virtual Reality Software and Technology","VRST '99","","1-58113-141-0","London, United Kingdom","ACM","New York, NY, USA"
"article","2480305","Sebastian  Osswald and Pratik  Sheth and Manfred  Tscheligi","","","","Hardware-in-the-loop-based Evaluation Platform for Automotive Instrument Cluster Development (EPIC)","323--332","","10","automotive user interfaces, evaluation platform, hardware-in-the-loop, interactive system development, prototyping","10.1145/2494603.2480305","","","","","","","2013","","Proceedings of the 5th ACM SIGCHI Symposium on Engineering Interactive Computing Systems","EICS '13","","978-1-4503-2138-9","London, United Kingdom","ACM","New York, NY, USA"
"article","1347403","Bruno  Dumas and Denis  Lalanne and Dominique  Guinard and Reto  Koenig and Rolf  Ingold","","","","Strengths and Weaknesses of Software Architectures for the Rapid Creation of Tangible and Multimodal Interfaces","47--54","","8","multimodal and tangible interfaces, multimodal interaction, software engineering","10.1145/1347390.1347403","","","","","","","2008","","Proceedings of the 2Nd International Conference on Tangible and Embedded Interaction","TEI '08","","978-1-60558-004-3","Bonn, Germany","ACM","New York, NY, USA"
"article","210182","Richard N. Taylor and Kari A. Nies and Gregory Alan Bolcer and Craig A. MacFarlane and Kenneth M. Anderson and Gregory F. Johnson","","","","Chiron-1: A Software Architecture for User Interface Development, Maintenance, and Run-time Support","105--144","","40","artists, client-server, concurrency, event-based integration, user interface architectures","10.1145/210181.210182","ACM Trans. Comput.-Hum. Interact.","June 1995","2","2","","June","1995","1073-0516","","","","","","ACM","New York, NY, USA"
"article","126677","Mark  Green and Robert  Jacob","","","","SIGGRAPH '90 Workshop Report: Software Architectures and Metaphors for non-WIMP User Interfaces","229--235","","7","","10.1145/126640.126677","SIGGRAPH Comput. Graph.","July 1991","25","3","","July","1991","0097-8930","","","","","","ACM","New York, NY, USA"
"article","505018","Gerhard  Reitmayr and Dieter  Schmalstieg","","","","An Open Software Architecture for Virtual Reality Interaction","47--54","","8","XML, mobile augmented reality, tracking, virtual reality","10.1145/505008.505018","","","","","","","2001","","Proceedings of the ACM Symposium on Virtual Reality Software and Technology","VRST '01","","1-58113-427-4","Baniff, Alberta, Canada","ACM","New York, NY, USA"
"article","2797437","Tobias  Holstein and Joachim  Wietzke","","","","Contradiction of Separation Through Virtualization and Inter Virtual Machine Communication in Automotive Scenarios","4:1--4:5","4","5","Composition, Heterogeneous Platforms, Hypervisor, Ubiquitous Interoperability, User Interface, Virtualization","10.1145/2797433.2797437","","","","","","","2015","","Proceedings of the 2015 European Conference on Software Architecture Workshops","ECSAW '15","","978-1-4503-3393-1","Dubrovnik, Cavtat, Croatia","ACM","New York, NY, USA"
"article","325835","Warren  Moseley","","","","Requirements Elicitation for an Intelligent Software Test Environment for the Physically Challenged","194--197","","4","Americans with Disbilities Act (ADA) of 1990, design patterns, digital manipulatives, eye tracking, intelligent process automation, knowledge acquisition, knowledge elicitation, object oriented architecture, physically challenged, scenario-based engineering, software architecture","10.1145/325737.325835","","","","","","","2000","","Proceedings of the 5th International Conference on Intelligent User Interfaces","IUI '00","","1-58113-134-8","New Orleans, Louisiana, USA","ACM","New York, NY, USA"
"article","2642810","Evert  Eckhardt and Erwin  Kaats and Slinger  Jansen and Carina  Alves","","","","The Merits of a Meritocracy in Open Source Software Ecosystems","7:1--7:6","7","6","Ecosystem Health, Meritocracy, Open Source, Software Ecosystems","10.1145/2642803.2642810","","","","","","","2014","","Proceedings of the 2014 European Conference on Software Architecture Workshops","ECSAW '14","","978-1-4503-2778-7","Vienna, Austria","ACM","New York, NY, USA"
"article","1842802","Harald  St&#246;rrle","","","","Model Driven Development of User Interface Prototypes: An Integrated Approach","261--268","","8","GUI design, UML, WED, state machines","10.1145/1842752.1842802","","","","","","","2010","","Proceedings of the Fourth European Conference on Software Architecture: Companion Volume","ECSA '10","","978-1-4503-0179-4","Copenhagen, Denmark","ACM","New York, NY, USA"
"article","2666255","Rene  Kaiser and Ferdinand  Fuhrmann","","","","Multimodal Interaction for Future Control Centers: Interaction Concept and Implementation","47--51","","5","control centers, hci, multimodal interaction, semantic lifting, user interface","10.1145/2666253.2666255","","","","","","","2014","","Proceedings of the 2014 Workshop on Roadmapping the Future of Multimodal Interaction Research Including Business Opportunities and Challenges","RFMIR '14","","978-1-4503-0615-7","Istanbul, Turkey","ACM","New York, NY, USA"
"article","766121","Timo  Jokela and Tuomo  Lalli","","","","Usability and CMMI: Does a Higher Maturity Level in Product Development Mean Better Usability?","1010--1011","","2","analysis methods (e.g. task/interaction modeling), prototyping, software architecture and engineering, theory, usability testing and evaluation, user studies and fieldwork","10.1145/765891.766121","","","","","","","2003","","CHI '03 Extended Abstracts on Human Factors in Computing Systems","CHI EA '03","","1-58113-637-4","Ft. Lauderdale, Florida, USA","ACM","New York, NY, USA"
"article","243677","T. C. Nicholas Graham","","","","Viewpoints Supporting the Development of Interactive Software","263--267","","5","","10.1145/243327.243677","","","","","","","1996","","Joint Proceedings of the Second International Software Architecture Workshop (ISAW-2) and International Workshop on Multiple Perspectives in Software Development (Viewpoints '96) on SIGSOFT '96 Workshops","ISAW '96","","0-89791-867-3","San Francisco, California, USA","ACM","New York, NY, USA"
"article","2636907","Durval  Pires and Valter  Alves and Licinio  Roque","","","","A Software Architecture for Dynamic Enhancement of Soundscapes in Games","27:1--27:8","27","8","acoustic ecology, design patterns, dynamic soundscape composition, game audio, game design, healthy soundscape, middleware, pattern language, sound design, sound engine, soundscape","10.1145/2636879.2636907","","","","","","","2014","","Proceedings of the 9th Audio Mostly: A Conference on Interaction With Sound","AM '14","","978-1-4503-3032-9","Aalborg, Denmark","ACM","New York, NY, USA"
"article","3003389","Mircea F. Lungu","","","","Bootstrapping an Ubiquitous Monitoring Ecosystem for Accelerating Vocabulary Acquisition","28:1--28:4","28","4","HCI, applied linguistics, software ecosystems","10.1145/2993412.3003389","","","","","","","2016","","Proccedings of the 10th European Conference on Software Architecture Workshops","ECSAW '16","","978-1-4503-4781-5","Copenhagen, Denmark","ACM","New York, NY, USA"
"article","1865860","Xiongfei  Luo and Dongxing  Teng and Wei  Liu and Feng  Tian and Guozhong  Dai and Hongan  Wang","","","","A Developing Framework for Interactive Temporal Data Visualization","14:1--14:10","14","10","developing framework, interactive information visualization, temporal data","10.1145/1865841.1865860","","","","","","","2010","","Proceedings of the 3rd International Symposium on Visual Information Communication","VINCI '10","","978-1-4503-0436-8","Beijing, China","ACM","New York, NY, USA"
"article","1979774","Florian  Heller and Leonhard  Lichtschlag and Moritz  Wittenhagen and Thorsten  Karrer and Jan  Borchers","","","","Me Hates This: Exploring Different Levels of User Feedback for (Usability) Bug Reporting","1357--1362","","6","evaluation, feedback, modality, usability, user reports","10.1145/1979742.1979774","","","","","","","2011","","CHI '11 Extended Abstracts on Human Factors in Computing Systems","CHI EA '11","","978-1-4503-0268-5","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","2804336","Shahram  Jalaliniya and Diako  Mardanbegi and Ioannis  Sintos and Daniel Garcia Garcia","","","","EyeDroid: An Open Source Mobile Gaze Tracker on Android for Eyewear Computers","873--879","","7","Android, Google glass, eyewear computer, gaze tracking","10.1145/2800835.2804336","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2669522","Emanuel  Vonach and Georg  Gerstweiler and Hannes  Kaufmann","","","","ACTO: A Modular Actuated Tangible User Interface Object","259--268","","10","actuation, haptics, physical control, prototyping platform, tabletop interaction, tangible user interfaces, widgets","10.1145/2669485.2669522","","","","","","","2014","","Proceedings of the Ninth ACM International Conference on Interactive Tabletops and Surfaces","ITS '14","","978-1-4503-2587-5","Dresden, Germany","ACM","New York, NY, USA"
"article","29924","M. Ajmone Marsan and G.  Balbo and G.  Chiola and G.  Conte","","","","Modeling the Software Architecture of a Prototype Parallel Machine","175--185","","11","","10.1145/29904.29924","SIGMETRICS Perform. Eval. Rev.","May 1987","15","1","","May","1987","0163-5999","","","","","","ACM","New York, NY, USA"
"article","29924","M. Ajmone Marsan and G.  Balbo and G.  Chiola and G.  Conte","","","","Modeling the Software Architecture of a Prototype Parallel Machine","175--185","","11","","10.1145/29903.29924","","","","","","","1987","","Proceedings of the 1987 ACM SIGMETRICS Conference on Measurement and Modeling of Computer Systems","SIGMETRICS '87","","0-89791-225-X","Banff, Alberta, Canada","ACM","New York, NY, USA"
"article","2525308","Rafael R. Wanderley and Rafael  Amaral and Victor  Ximenes and Devendra  Tewari and Sriganesh  Madhvanath and Ramadevi  Vennelakanti","","","","DESI: A Virtual Classroom System for Distance Education: A Design Exploration","388--399","","12","collaboration, distance education, interaction design, multimodal, presence, usability, virtual classroom","10.1145/2525194.2525308","","","","","","","2013","","Proceedings of the 11th Asia Pacific Conference on Computer Human Interaction","APCHI '13","","978-1-4503-2253-9","Bangalore, India","ACM","New York, NY, USA"
"article","1409242","Cameron Ross Dunne and Thibault  Candebat and David  Gray","","","","A Frequency Based Sighting Blurring Algorithm for Use with Location Based Services on the Internet","3--12","","10","locatable mobile devices, location based services, location privacy, security, sighting blurring","10.1145/1409240.1409242","","","","","","","2008","","Proceedings of the 10th International Conference on Human Computer Interaction with Mobile Devices and Services","MobileHCI '08","","978-1-59593-952-4","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","2480328","Luca  Frosini and Marco  Manca and Fabio  Patern&#242;","","","","A Framework for the Development of Distributed Interactive Applications","249--254","","6","distributed and migratory user interfaces, multi-device user interfaces, multi-user user interfaces","10.1145/2494603.2480328","","","","","","","2013","","Proceedings of the 5th ACM SIGCHI Symposium on Engineering Interactive Computing Systems","EICS '13","","978-1-4503-2138-9","London, United Kingdom","ACM","New York, NY, USA"
"article","1178762","Marco  Paleari and Christine L. Lisetti","","","","Toward Multimodal Fusion of Affective Cues","99--108","","10","HCI, affective computing, emotion recognition, multimodal fusion","10.1145/1178745.1178762","","","","","","","2006","","Proceedings of the 1st ACM International Workshop on Human-centered Multimedia","HCM '06","","1-59593-500-2","Santa Barbara, California, USA","ACM","New York, NY, USA"
"article","2797503","Ragaad  AlTarawneh and Shah Rukh Humayoun and Johannes  Schultz and Achim  Ebert and Peter  Liggesmeyer","","","","LayMan: A Visual Interactive Tool to Support Failure Analysis in Embedded Systems","68:1--68:5","68","5","Clustered Graphs Exploration, Component Fault Trees (CFT), Compound Graphs Visualization, Embedded Systems, Failure Scenarios, Information Visualization","10.1145/2797433.2797503","","","","","","","2015","","Proceedings of the 2015 European Conference on Software Architecture Workshops","ECSAW '15","","978-1-4503-3393-1","Dubrovnik, Cavtat, Croatia","ACM","New York, NY, USA"
"article","1621128","Cayo  Pabllo and Rafael  Soto and Jorge  Campos","","","","Mobile Medication Administration System: Application and Architecture","41:1--41:4","41","4","medication adminstration system, mobile HCI, mobile architecture, mobile computing","10.1145/1621087.1621128","","","","","","","2008","","Proceedings of the 2008 Euro American Conference on Telematics and Information Systems","EATIS '08","","978-1-59593-988-3","Aracaju, Brazil","ACM","New York, NY, USA"
"article","2603079","Veli-Pekka  Eloranta and Marko  Lepp&#228;nen","","","","Human Machine Interface Patterns for Distributed Machine Control Systems","3:1--3:16","3","16","architecture patterns, distributed control systems, human machine interface, pattern language, user interface design","10.1145/2602928.2603079","","","","","","","2012","","Proceedings of the 17th European Conference on Pattern Languages of Programs","EuroPLoP '12","","978-1-4503-2943-9","Irsee, Germany","ACM","New York, NY, USA"
"article","504835","Scott  Lockhart and Rahul  Mehrotra","","","","Writing As Software Development: Making Meaning Before, After, and of the Code","205--219","","15","","","","","","","","","2000","","Proceedings of IEEE Professional Communication Society International Professional Communication Conference and  Proceedings of the 18th Annual ACM International Conference on Computer Documentation: Technology & Teamwork","IPCC/SIGDOC '00","","0-7803-6431-7","Cambridge, Massachusetts","IEEE Educational Activities Department","Piscataway, NJ, USA"
"article","1324911","Doug  Palmer and Matt  Adcock and Jocelyn  Smith and Matthew  Hutchins and Chris  Gunn and Duncan  Stevenson and Ken  Taylor","","","","Annotating with Light for Remote Guidance","103--110","","8","annotation, laser, network, pointing, remote","10.1145/1324892.1324911","","","","","","","2007","","Proceedings of the 19th Australasian Conference on Computer-Human Interaction: Entertaining User Interfaces","OZCHI '07","","978-1-59593-872-5","Adelaide, Australia","ACM","New York, NY, USA"
"article","2046422","Hosub  Lee and Young Sang  Choi","","","","Fit Your Hand: Personalized User Interface Considering Physical Attributes of Mobile Device Users","59--60","","2","adaptive user interface, intelligent interaction, personalization, physical attribute, touch input pattern","10.1145/2046396.2046422","","","","","","","2011","","Proceedings of the 24th Annual ACM Symposium Adjunct on User Interface Software and Technology","UIST '11 Adjunct","","978-1-4503-1014-7","Santa Barbara, California, USA","ACM","New York, NY, USA"
"article","345301","Paulo  Pinheiro da Silva and Tony  Griffiths and Norman W. Paton","","","","Generating User Interface Code in a Model Based User Interface Development Environment","155--160","","6","automatic code generation, model-based user interface development environments, user interface development tools","10.1145/345513.345301","","","","","","","2000","","Proceedings of the Working Conference on Advanced Visual Interfaces","AVI '00","","1-58113-252-2","Palermo, Italy","ACM","New York, NY, USA"
"article","1529315","In&#234;s  Oliveira and Rui  Lopes and Nuno M. Guimar&#227;es","","","","Development of a Biosignals Framework for Usability Analysis","156--157","","2","EEG signals, usability analysis","10.1145/1529282.1529315","","","","","","","2009","","Proceedings of the 2009 ACM Symposium on Applied Computing","SAC '09","","978-1-60558-166-8","Honolulu, Hawaii","ACM","New York, NY, USA"
"article","2534104","Martin  Ouwerkerk and Pierre  Dandine and Dennis  Bolio and Rafal  Kocielnik and Johanna  Mercurio and Henk  Huijgen and Joyce  Westerink","","","","Wireless Multi Sensor Bracelet with Discreet Feedback","6:1--6:8","6","8","ambulatory sensing, low power technology, stress, unobtrusive","10.1145/2534088.2534104","","","","","","","2013","","Proceedings of the 4th Conference on Wireless Health","WH '13","","978-1-4503-2290-4","Baltimore, Maryland","ACM","New York, NY, USA"
"article","2526239","Alan Livio Vasconcelos  Guedes and Lu&#237;s Feliphe Silva  Costa and Fernando Santos De Mattos  Brito and Ana Paula Nunes  Guimaraes and Jos&#233; Ivan Bezerra  Vilarouca Filho and Carlos Eduardo Coelho Freire  Batista and Guido Lemos De  Souza Filho","","","","GingaSpace: A Solution to Execute Multidevice Applications on Broadband TV Systems","305--308","","4","Ginga-NCL, NCL, TV digital, broadband TV, han, multiple devices, second screen","10.1145/2526188.2526239","","","","","","","2013","","Proceedings of the 19th Brazilian Symposium on Multimedia and the Web","WebMedia '13","","978-1-4503-2559-2","Salvador, Brazil","ACM","New York, NY, USA"
"article","1541489","Johann  Vandromme","","","","Un Bureau Bas\'{E} Sur Les Instruments Et Des Graphes","265--267","","3","GUI architectures, graphs, interfaces, tools","10.1145/1541436.1541489","","","","","","","2007","","Proceedings of the 19th Conference on L'Interaction Homme-Machine","IHM '07","","978-1-59593-791-9","Paris, France","ACM","New York, NY, USA"
"article","3007628","Patrick  Holthaus and Thomas  Hermann and Sebastian  Wrede and Sven  Wachsmuth and Britta  Wrede","","","","1st International Workshop on Embodied Interaction with Smart Environments (Workshop Summary)","589--590","","2","Smart environments, ambient assisted living, human-robot interaction","10.1145/2993148.3007628","","","","","","","2016","","Proceedings of the 18th ACM International Conference on Multimodal Interaction","ICMI 2016","","978-1-4503-4556-9","Tokyo, Japan","ACM","New York, NY, USA"
"article","2663275","Gregor  Mehlmann and Markus  H&#228;ring and Kathrin  Janowski and Tobias  Baur and Patrick  Gebhard and Elisabeth  Andr&#233;","","","","Exploring a Model of Gaze for Grounding in Multimodal HRI","247--254","","8","dialog modeling, human-robot interaction, multi-modal fusion","10.1145/2663204.2663275","","","","","","","2014","","Proceedings of the 16th International Conference on Multimodal Interaction","ICMI '14","","978-1-4503-2885-2","Istanbul, Turkey","ACM","New York, NY, USA"
"article","157749","L.  Desmond and D. B. Anderson","","","","Operations and Collections; Some Architectural Choices","183--185","","3","","10.1145/157710.157749","SIGPLAN OOPS Mess.","April 1993","4","2","","December","1992","1055-6400","","","","","","ACM","New York, NY, USA"
"article","157749","L.  Desmond and D. B. Anderson","","","","Operations and Collections; Some Architectural Choices","183--185","","3","","10.1145/157709.157749","","","","","","","1992","","Addendum to the Proceedings on Object-oriented Programming Systems, Languages, and Applications (Addendum)","OOPSLA '92","","0-89791-610-7","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","2653412","St&#233;phane  Chatty","","","","R\'{E}Concilier Conception D'Interfaces Et Conception Logicielle: Vers La &Laquo; Conception Orient\'{E}e-Syst\`{E}Mes &Raquo;","73:73--73:80","73","8","component, design, interaction, interface, model, object, process, specification, system","10.1145/2652574.2653412","","","","","","","2012","","Proceedings of the 2012 Conference on Ergonomie Et Interaction Homme-machine","Ergo'IHM '12","","978-1-4503-1846-4","Biarritz, France","ACM","New York, NY, USA"
"article","1568197","David  Bell","","","","Emergent Application Integration of Ubiquitous Information Systems (UBIS)","13--18","","6","architecture, semantic web, ubiquitous computing","10.1145/1568192.1568197","","","","","","","2009","","Proceedings of the 4th International Workshop on Services Integration in Pervasive Environments","SIPE 09","","978-1-60558-648-9","London, United Kingdom","ACM","New York, NY, USA"
"article","1774348","Marcus  St&#228;nder","","","","Towards Interactionflows for Smart Products","1234--1235","","2","context, interaction types, interactionflows, smart products, workflows","10.1145/1774088.1774348","","","","","","","2010","","Proceedings of the 2010 ACM Symposium on Applied Computing","SAC '10","","978-1-60558-639-7","Sierre, Switzerland","ACM","New York, NY, USA"
"article","2702041","Samer  Al Moubayed and Jill  Lehman","","","","Design and Architecture of a Robot-Child Speech-Controlled Game","79--80","","2","child-robot interaction, facial animation, gaze, gesture, multimodal systems, natural spoken dialog, speech, spoken dialog","10.1145/2701973.2702041","","","","","","","2015","","Proceedings of the Tenth Annual ACM/IEEE International Conference on Human-Robot Interaction Extended Abstracts","HRI'15 Extended Abstracts","","978-1-4503-3318-4","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","1244348","Erwin  Aitenbichler and Fernando  Lyardet and Gerhard  Austaller and Jussi  Kangasharju and Max  M&#252;hlh&#228;user","","","","Engineering Intuitive and Self-explanatory Smart Products","1632--1637","","6","smart products, ubiquitous computing, user-centered design","10.1145/1244002.1244348","","","","","","","2007","","Proceedings of the 2007 ACM Symposium on Applied Computing","SAC '07","","1-59593-480-4","Seoul, Korea","ACM","New York, NY, USA"
"article","1629878","Benjamin  Tissoires and Jean-Luc  Vinot and St&#233;phane  Conversy","","","","Hayaku: Maximiser Le Pouvoir D'Expression Du Concepteur Et L'Efficacit\'{E} De Rendu De Sc\`{E}Nes Graphiques Interactives","325--328","","4","GUI architectures, GUI toolkits, graphical compiler","10.1145/1629826.1629878","","","","","","","2009","","Proceedings of the 21st International Conference on Association Francophone D'Interaction Homme-Machine","IHM '09","","978-1-60558-461-4","Grenoble, France","ACM","New York, NY, USA"
"article","1935712","Christophe  Scholliers and Lode  Hoste and Beat  Signer and Wolfgang  De Meuter","","","","Midas: A Declarative Multi-touch Interaction Framework","49--56","","8","declarative programming, gesture framework, multi-touch interaction, rule language","10.1145/1935701.1935712","","","","","","","2011","","Proceedings of the Fifth International Conference on Tangible, Embedded, and Embodied Interaction","TEI '11","","978-1-4503-0478-8","Funchal, Portugal","ACM","New York, NY, USA"
"article","2023621","Pawe&#322;  Brach and Jacek  Chrz&#261;szcz and Janusz  Jab&#322;onowski and Jakub  &#346;wiat&#322;y","","","","A Distributed Service Oriented System for GUI Map Generation","69--74","","6","GUI, GUI map, automatic GUI map generator, distributed computations, service oriented system","10.1145/2023607.2023621","","","","","","","2011","","Proceedings of the 12th International Conference on Computer Systems and Technologies","CompSysTech '11","","978-1-4503-0917-2","Vienna, Austria","ACM","New York, NY, USA"
"article","2541064","Shanaka  Ransiri and Roshan Lalintha Peiris and Kian Peen Yeo and Suranga  Nanayakkara","","","","SmartFinger: Connecting Devices, Objects and People Seamlessly","359--362","","4","device identification, finger augmentation, intuitive interface, media sharing, smart copy-paste","10.1145/2541016.2541064","","","","","","","2013","","Proceedings of the 25th Australian Computer-Human Interaction Conference: Augmentation, Application, Innovation, Collaboration","OzCHI '13","","978-1-4503-2525-7","Adelaide, Australia","ACM","New York, NY, USA"
"article","1969302","Adriana  Mart&#237;n and Alejandra  Cechich and Gustavo  Rossi","","","","Accessibility at Early Stages: Insights from the Designer Perspective","9:1--9:9","9","9","accessibility early design, aspect-oriented design, user interface models, web engineering","10.1145/1969289.1969302","","","","","","","2011","","Proceedings of the International Cross-Disciplinary Conference on Web Accessibility","W4A '11","","978-1-4503-0476-4","Hyderabad, Andhra Pradesh, India","ACM","New York, NY, USA"
"article","544810","Konstantinos  Karasavvas and Richard  Baldock and Albert  Burger","","","","A Multi-agent Bioinformatics Integration System with Adjustable Autonomy: An Overview","302--303","","2","","10.1145/544741.544810","","","","","","","2002","","Proceedings of the First International Joint Conference on Autonomous Agents and Multiagent Systems: Part 1","AAMAS '02","","1-58113-480-0","Bologna, Italy","ACM","New York, NY, USA"
"article","810953","N.  Relles and N. K. Sondheimer and G. P. Ingargiola","","","","Recent Advances in User Assistance","1--5","","5","","10.1145/800276.810953","","","","","","","1981","","Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - II): Human Interface and the User Interface - Volume 1981","CHI '81","","0-89791-064-8","Ann Arbor, MI","ACM","New York, NY, USA"
"article","810953","N.  Relles and N. K. Sondheimer and G. P. Ingargiola","","","","Recent Advances in User Assistance","1--5","","5","","10.1145/1015579.810953","SIGSOC Bull.","1982","13","2-3","","May","1981","0163-5794","","","","","","ACM","New York, NY, USA"
"article","2637252","Eliezer  Kantorowitz","","","","Low Cost User Experience (UX) Design","4:1--4:1","4","1","","10.1145/2637248.2637252","","","","","","","2014","","Proceedings of the 2014 European Conference on Cognitive Ergonomics","ECCE '14","","978-1-4503-2874-6","Vienna, Austria","ACM","New York, NY, USA"
"article","2968315","Aris  Alissandrakis and Isabella  Nake","","","","A New Approach for Visualizing Quantified Self Data Using Avatars","522--527","","6","avatars, data visualization, quantified self","10.1145/2968219.2968315","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2018435","Holger  R&#246;der","","","","A Pattern Approach to Specifying Usability Features in Use Cases","12--15","","4","software requirements specification, usability, usability patterns, use cases","10.1145/2018431.2018435","","","","","","","2011","","Proceedings of the 2Nd International Workshop on Pattern-Driven Engineering of Interactive Computing Systems","PEICS '11","","978-1-4503-0856-4","Pisa, Italy","ACM","New York, NY, USA"
"article","502351","Peter  Tandler and Thorsten  Prante and Christian  M&#252;ller-Tomfelde and Norbert  Streitz and Ralf  Steinmetz","","","","Connectables: Dynamic Coupling of Displays for the Flexible Creation of Shared Workspaces","11--20","","10","co-located groupwork, context-awareness, dynamic coupling, interactive tables, roomware, shared workspaces","10.1145/502348.502351","","","","","","","2001","","Proceedings of the 14th Annual ACM Symposium on User Interface Software and Technology","UIST '01","","1-58113-438-X","Orlando, Florida","ACM","New York, NY, USA"
"article","1147538","Charlene  O'Hanlon","","","","Calendar","59--","","","","10.1145/1147518.1147538","Queue","July-August 2006","4","6","","July","2006","1542-7730","","","","","","ACM","New York, NY, USA"
"article","2305490","Bruno  Dumas and Beat  Signer and Denis  Lalanne","","","","Fusion in Multimodal Interactive Systems: An HMM-based Algorithm for User-induced Adaptation","15--24","","10","hmm-based fusion, multimodal fusion, multimodal interaction, user interface adaptation","10.1145/2305484.2305490","","","","","","","2012","","Proceedings of the 4th ACM SIGCHI Symposium on Engineering Interactive Computing Systems","EICS '12","","978-1-4503-1168-7","Copenhagen, Denmark","ACM","New York, NY, USA"
"article","1824750","Kai  Breiner and Marc  Seissler and Gerrit  Meixner and Peter  Forbrig and Ahmed  Seffah and Kerstin  Kl&#246;ckner","","","","PEICS: Towards HCI Patterns into Engineering of Interactive Systems","1--3","","3","HCI pattern, MBUID, MDA, descriptive pattern, ergonomics, generative pattern, model-based user interface development, model-driven engineering, usability, user interface patten","10.1145/1824749.1824750","","","","","","","2010","","Proceedings of the 1st International Workshop on Pattern-Driven Engineering of Interactive Computing Systems","PEICS '10","","978-1-4503-0246-3","Berlin, Germany","ACM","New York, NY, USA"
"article","2018432","Marc  Seissler and Gerrit  Meixner and Ahmed  Seffah and Kai  Breiner and Peter  Forbrig and Kerstin  Kl&#246;ckner","","","","PEICS: HCI Patterns for the Design of Interactive Systems","1--3","","3","HCI pattern, MBUID, descriptive pattern, ergonomics, generative pattern, interaction design pattern, model-based user interface development, model-driven engineering, usability","10.1145/2018431.2018432","","","","","","","2011","","Proceedings of the 2Nd International Workshop on Pattern-Driven Engineering of Interactive Computing Systems","PEICS '11","","978-1-4503-0856-4","Pisa, Italy","ACM","New York, NY, USA"
"article","2996950","Payam  Tabrizian and Anna  Petrasova and Brendan  Harmon and Vaclav  Petras and Helena  Mitasova and Ross  Meentemeyer","","","","Immersive Tangible Geospatial Modeling","88:1--88:4","88","4","augmented reality, head mounted display, immersive virtual environments, landscape modeling, oculus rift, tangible interaction, tangible user interfaces","10.1145/2996913.2996950","","","","","","","2016","","Proceedings of the 24th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems","GIS '16","","978-1-4503-4589-7","Burlingame, California","ACM","New York, NY, USA"
"article","1816093","Xavier  Giro-i-Nieto and Carles  Ventura and Jordi  Pont-Tuset and Silvia  Cortes and Ferran  Marques","","","","System Architecture of a Web Service for Content-Based Image Retrieval","358--365","","8","Content-Based Image Uetrieval (CBIR), image similarity, information visualization, web service","10.1145/1816041.1816093","","","","","","","2010","","Proceedings of the ACM International Conference on Image and Video Retrieval","CIVR '10","","978-1-4503-0117-6","Xi'an, China","ACM","New York, NY, USA"
"article","318563","Mary Hunter Utt and Robert  Mathews","","","","Developing a User Information Architecture for Rational's ClearCase Product Family Documentation Set","86--92","","7","ClearCase documentation, RUP, Rational Unified Process, information architecture","10.1145/318372.318563","","","","","","","1999","","Proceedings of the 17th Annual International Conference on Computer Documentation","SIGDOC '99","","1-58113-072-4","New Orleans, Louisiana, USA","ACM","New York, NY, USA"
"article","1099434","Karin Anna Hummel and Wolfgang  Jochum and Stefan  Leitich and Bernhard  Schandl","","","","Supporting Meetings with a Goal-driven Service-oriented Multimedia Environment","55--65","","11","goal-driven architecture, semantic web, service-oriented architecture","10.1145/1099423.1099434","","","","","","","2005","","Proceedings of the First ACM International Workshop on Multimedia Service Composition","MSC '05","","1-59593-245-3","Hilton, Singapore","ACM","New York, NY, USA"
"article","1063680","Olivier  Delotte and Bertrand  David and Ren&#233;  Chalon","","","","A Groupware Environment for Transient Virtual Organization Building","72--79","","8","AMF-C, CSCW, scenarios","10.1145/1063669.1063680","","","","","","","2003","","Proceedings of the 15th Conference on L'Interaction Homme-Machine","IHM '03","","1-58113-803-2","Caen, France","ACM","New York, NY, USA"
